0,1.5,1.5219512195122,0.7,,,,speed,sleep,Total time
0.0686437764319014,1.5,1.51463414634146,0.719512195121951,,,,0.5,1.647,13.8131376521479
0.137287552863792,1.5,1.50731707317073,0.739024390243902,,,,,,
0.209147142306559,1.5,1.49756097560976,0.758536585365854,,,,,,
0.284941127304107,1.5,1.48536585365854,0.778048780487805,,,,,,
0.360735112301655,1.5,1.47317073170732,0.797560975609756,,,,,,
0.441076575716301,1.5,1.45853658536585,0.817073170731707,,,,,,
0.531972565461802,1.5,1.4390243902439,0.836585365853659,,,,,,
0.617376712552403,1.5,1.41951219512195,0.853658536585366,,,,,,
0.697718175967034,1.5,1.4,0.868292682926829,,,,,,
0.773512160964578,1.5,1.38048780487805,0.880487804878049,,,,,,
0.849306145962121,1.5,1.3609756097561,0.892682926829268,,,,,,
0.921165735404892,1.5,1.34146341463415,0.902439024390244,,,,,,
0.98980951183678,1.5,1.3219512195122,0.909756097560975,,,,,,
1.0584532882687,1.5,1.30243902439024,0.917073170731707,,,,,,
1.12470455622374,1.5,1.28292682926829,0.921951219512195,,,,,,
1.19095582417879,1.5,1.26341463414634,0.926829268292683,,,,,,
1.25720709213383,1.5,1.24390243902439,0.931707317073171,,,,,,
1.32345836008887,1.5,1.22439024390244,0.936585365853659,,,,,,
1.45424478702436,1.5,1.18536585365854,0.94390243902439,,,,,,
1.58304195085599,1.5,1.14634146341463,0.946341463414634,,,,,,
1.71183911468758,1.5,1.10731707317073,0.948780487804878,,,,,,
1.84063627851918,1.5,1.06829268292683,0.951219512195122,,,,,,
1.96918261998258,1.5,1.02926829268293,0.951219512195122,,,,,,
2.0979797838142,1.5,0.990243902439024,0.948780487804878,,,,,,
2.2267769476458,1.5,0.951219512195122,0.946341463414634,,,,,,
2.32081421961144,1.5,0.941463414634146,0.973170731707317,,,,,,
2.44961138344304,1.5,0.94390243902439,1.01219512195122,,,,,,
2.57915810062789,1.5,0.939024390243902,1.05121951219512,,,,,,
2.64540936858293,1.5,0.934146341463415,1.07073170731707,,,,,,
2.71405314501482,1.5,0.926829268292683,1.09024390243902,,,,,,
2.78591273445762,1.5,0.917073170731707,1.10975609756098,,,,,,
2.86170671945516,1.5,0.904878048780488,1.12926829268293,,,,,,
2.94204818286979,1.5,0.890243902439024,1.14878048780488,,,,,,
3.0274523299604,1.5,0.873170731707317,1.16829268292683,,,,,,
3.11285647705101,1.5,0.853658536585366,1.18536585365854,,,,,,
3.19319794046563,1.5,0.834146341463415,1.2,,,,,,
3.27353940388026,1.5,0.814634146341463,1.21463414634146,,,,,,
3.34933338887781,1.5,0.795121951219512,1.22682926829268,,,,,,
3.42512737387536,1.5,0.775609756097561,1.2390243902439,,,,,,
3.49698696331814,1.5,0.75609756097561,1.24878048780488,,,,,,
3.5688465527609,1.5,0.736585365853658,1.25853658536585,,,,,,
3.63749032919281,1.5,0.717073170731707,1.26585365853659,,,,,,
3.77780066298186,1.5,0.758536585365854,1.27560975609756,,,,,,
3.90634700444527,1.5,0.797560975609756,1.27560975609756,,,,,,
4.03489334590869,1.5,0.836585365853659,1.27560975609756,,,,,,
4.1634396873721,1.5,0.875609756097561,1.27560975609756,,,,,,
4.29198602883551,1.5,0.914634146341463,1.27560975609756,,,,,,
4.42053237029893,1.5,0.953658536585366,1.27560975609756,,,,,,
4.54907871176234,1.5,0.992682926829268,1.27560975609756,,,,,,
4.67762505322576,1.5,1.03170731707317,1.27560975609756,,,,,,
4.80617139468916,1.5,1.07073170731707,1.27560975609756,,,,,,
4.9347177361526,1.5,1.10975609756098,1.27560975609756,,,,,,
5.06326407761601,1.5,1.14878048780488,1.27560975609756,,,,,,
5.19181041907942,1.5,1.18780487804878,1.27560975609756,,,,,,
5.32035676054282,1.5,1.22682926829268,1.27560975609756,,,,,,
5.42261474900651,1.5,1.24878048780488,1.25365853658537,,,,,,
5.48886601696159,1.5,1.25365853658537,1.23414634146341,,,,,,
5.56072560640435,1.5,1.26341463414634,1.21463414634146,,,,,,
5.6365195914019,1.5,1.27560975609756,1.19512195121951,,,,,,
5.71605358242922,1.5,1.29268292682927,1.1780487804878,,,,,,
5.79184756742675,1.5,1.31219512195122,1.16585365853659,,,,,,
5.86049134385865,1.5,1.33170731707317,1.15853658536585,,,,,,
5.92674261181369,1.5,1.35121951219512,1.15365853658537,,,,,,
5.99299387976873,1.5,1.37073170731707,1.14878048780488,,,,,,
6.12254059695361,1.5,1.40975609756098,1.14390243902439,,,,,,
6.25133776078521,1.5,1.44878048780488,1.14634146341463,,,,,,
6.32540893015672,1.5,1.46341463414634,1.16341463414634,,,,,,
6.45420609398832,1.5,1.46585365853659,1.20243902439024,,,,,,
6.58300325781995,1.5,1.46829268292683,1.24146341463415,,,,,,
6.66571985705023,1.5,1.48048780487805,1.21951219512195,,,,,,
6.73197112500528,1.5,1.48536585365854,1.2,,,,,,
6.85354982051916,1.5,1.5219512195122,1.19512195121951,,,,,,
6.97512851603301,1.5,1.55853658536585,1.2,,,,,,
7.04137978398805,1.5,1.56341463414634,1.21951219512195,,,,,,
7.1076310519431,1.5,1.56829268292683,1.2390243902439,,,,,,
7.17627482837498,1.5,1.57560975609756,1.21951219512195,,,,,,
7.30582154555983,1.5,1.58048780487805,1.18048780487805,,,,,,
7.42819401683163,1.5,1.59512195121951,1.14634146341463,,,,,,
7.55699118066322,1.5,1.63414634146341,1.14390243902439,,,,,,
7.6865378978481,1.5,1.67317073170732,1.14878048780488,,,,,,
7.81732432478359,1.5,1.71219512195122,1.15609756097561,,,,,,
